x_center   gbar_MC_norm   gbar_MC_raw      gbar_paper   gbar_err_paper
     0.225  1.000000e+00  5.551443e-02       1.0000          0.0400
     0.303  1.282961e+00  7.122284e-02       1.0700          0.0600
     0.495  2.255657e+00  1.252215e-01       1.1300          0.0400
      1.04  5.691217e+00  3.159447e-01       1.6000          0.1600
      1.26  6.897124e+00  3.828899e-01       1.3400          0.1800
      1.62  8.767846e+00  4.867420e-01       1.3700          0.1400
      2.35  1.023854e+01  5.683867e-01       1.5500          0.1500
         5  1.352187e+01  7.506590e-01       2.1100          0.3400
       7.2  1.340970e+01  7.444318e-01       2.2200          0.4400
      8.94  1.210104e+01  6.717824e-01       2.2000          0.3500
      12.1  1.257005e+01  6.978190e-01       2.4100          0.2200
      19.7  1.257601e+01  6.981502e-01       3.0000          0.1700
      41.6  1.941399e+01  1.077757e+00       3.5000          0.4300
      50.3  1.831721e+01  1.016869e+00       3.7900          0.3000
      64.6  1.613777e+01  8.958791e-01       3.6100          0.3000
      93.6  1.532084e+01  8.505276e-01       3.6600          0.1800
       198  2.643156e+01  1.467333e+00       4.0300          0.4400
       287  2.912049e+01  1.616607e+00       3.9800          0.9900
       356  3.364866e+01  1.867986e+00       3.3100          0.6800
       480  2.852346e+01  1.583464e+00       2.9200          0.5300
       784  1.237926e+01  6.872275e-01       2.3500          0.1800
  1.65e+03  3.067839e+01  1.703093e+00       1.5700          0.5400
     2e+03  0.000000e+00  0.000000e+00       0.8500          0.1200
  2.57e+03  0.000000e+00  0.000000e+00       0.7400          1.0500
  3.73e+03  0.000000e+00  0.000000e+00       0.2000          0.1400
chi^2/dof = 1588.702 (target: < 2.0 for good agreement)
max |residual| = 64.782 sigma
